CookerStat, GenerateAssetRegistry=0.019621, Initialize=0.109583, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_06AA4BCE4E8B503EF8A0BB81BC6696AA__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=3159, Duration=34.093620, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_618693FE44CB529624EBB98A82822667__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=2042, Duration=34.115959, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FDD3065F47F764E579832083713DBE9F__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=1405, Duration=4.374753, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E930A18046C2895D150F5C85E7401F35__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=2073, Duration=16.095001, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C5011A00438E77612BE6DAB1524A0E73__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=651, Duration=13.904304, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D38325DF45CB716FAF22F0913290B0C0__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=499, Duration=39.350754, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3747F94E4E739C51658A9AB4FEAC3AF8__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=347, Duration=1.218364, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5A5A8A794BEC3860AC56CAA5EE0B37DB__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=347, Duration=18.061407, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1EEF8C00492BEAFA77B7108F043F41F0__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=347, Duration=3.731765, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8E2BBC054DABBABCFFC395A7A1D9370F__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=347, Duration=2.563510, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
